epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5566.4,1.03352,0.73173,1.27018,0.8751,0.85929,0.89364,0.5801,1.24045,0.69666,1.51353,0.002674,0.002674,0.002674
76,5640.3,1.02074,0.72259,1.26846,0.87399,0.86304,0.89521,0.58021,1.23789,0.70159,1.51197,0.002575,0.002575,0.002575
77,5714.4,1.01579,0.71504,1.25865,0.87591,0.85553,0.8947,0.57755,1.23486,0.69949,1.51048,0.002476,0.002476,0.002476
78,5788.28,1.01171,0.70616,1.25628,0.87844,0.85741,0.89733,0.57682,1.23302,0.69843,1.50987,0.002377,0.002377,0.002377
79,5862.4,1.00318,0.70221,1.25172,0.88029,0.85366,0.8961,0.57785,1.23143,0.69728,1.51047,0.002278,0.002278,0.002278
80,5936.5,1.0057,0.70012,1.25479,0.87396,0.85553,0.89718,0.5781,1.22844,0.6961,1.50865,0.002179,0.002179,0.002179
81,6010.65,0.99738,0.69386,1.24899,0.8725,0.85741,0.8956,0.57942,1.22581,0.69044,1.50599,0.00208,0.00208,0.00208
82,6084.73,0.99288,0.68928,1.241,0.8711,0.85929,0.89423,0.5829,1.22631,0.68969,1.50677,0.001981,0.001981,0.001981
83,6158.8,0.98668,0.68436,1.24203,0.88253,0.85982,0.89986,0.58496,1.22318,0.68993,1.50495,0.001882,0.001882,0.001882
84,6233.06,0.97784,0.6824,1.23703,0.88242,0.85891,0.89774,0.58502,1.21897,0.68985,1.49978,0.001783,0.001783,0.001783
85,6307.1,0.97259,0.67075,1.22685,0.88013,0.86492,0.89822,0.58725,1.21605,0.68939,1.49802,0.001684,0.001684,0.001684
86,6380.94,0.9586,0.66064,1.22106,0.87483,0.86544,0.89757,0.58757,1.21422,0.68943,1.4976,0.001585,0.001585,0.001585
87,6454.61,0.96711,0.66456,1.22725,0.88296,0.86492,0.89772,0.58944,1.21136,0.69126,1.4965,0.001486,0.001486,0.001486
88,6528.95,0.94989,0.66357,1.21799,0.88046,0.86116,0.89615,0.58963,1.20775,0.69243,1.49479,0.001387,0.001387,0.001387
89,6602.99,0.95243,0.65709,1.21962,0.89115,0.86304,0.89866,0.59028,1.20585,0.69161,1.49441,0.001288,0.001288,0.001288
90,6676.82,0.94493,0.64872,1.21516,0.89465,0.86033,0.89708,0.59146,1.20476,0.69285,1.4944,0.001189,0.001189,0.001189
91,6751.08,0.90041,0.53127,1.23241,0.8927,0.86304,0.89865,0.59219,1.20306,0.6921,1.49326,0.00109,0.00109,0.00109
92,6823.54,0.86845,0.50595,1.21018,0.89592,0.86304,0.89911,0.59488,1.20074,0.69107,1.49171,0.000991,0.000991,0.000991
93,6895.89,0.8492,0.4861,1.19503,0.89928,0.86492,0.89988,0.59613,1.19942,0.69149,1.49113,0.000892,0.000892,0.000892
94,6968.68,0.83465,0.48214,1.18473,0.90101,0.86304,0.8983,0.59777,1.1975,0.69006,1.4905,0.000793,0.000793,0.000793
95,7041.01,0.8301,0.47427,1.18489,0.8995,0.86304,0.90017,0.59961,1.19536,0.6896,1.48889,0.000694,0.000694,0.000694
96,7113,0.81724,0.46581,1.17328,0.90126,0.86304,0.89976,0.60131,1.19393,0.69034,1.48827,0.000595,0.000595,0.000595
97,7185.45,0.80601,0.46035,1.1688,0.90355,0.86116,0.90006,0.60264,1.19263,0.6901,1.48834,0.000496,0.000496,0.000496
98,7257.94,0.80515,0.46105,1.16632,0.90563,0.85741,0.89949,0.60295,1.19175,0.68965,1.48883,0.000397,0.000397,0.000397
99,7330.45,0.79053,0.4495,1.15788,0.90484,0.8563,0.90093,0.60339,1.1917,0.69028,1.49019,0.000298,0.000298,0.000298
100,7402.53,0.79564,0.45127,1.16148,0.90458,0.85374,0.90089,0.6036,1.19072,0.68994,1.4906,0.000199,0.000199,0.000199
